=== INICIANDO EXECUÇÃO FORÇA TOTAL: BB20030 ===
Dimensões: 47 fitas x 162 colunas
Parâmetros: 100 Gerações | Pop: 20

Geração 000/100 | Melhor WSP: 22437.00
Geração 005/100 | Melhor WSP: 22437.00
Geração 010/100 | Melhor WSP: 22437.00
Geração 015/100 | Melhor WSP: 22458.00
Geração 020/100 | Melhor WSP: 22458.00
Geração 025/100 | Melhor WSP: 22458.00
Geração 030/100 | Melhor WSP: 22458.00
Geração 035/100 | Melhor WSP: 22461.00
Geração 040/100 | Melhor WSP: 22499.50
Geração 045/100 | Melhor WSP: 22499.50
Geração 050/100 | Melhor WSP: 22499.50
Geração 055/100 | Melhor WSP: 22499.50
Geração 060/100 | Melhor WSP: 22510.00
Geração 065/100 | Melhor WSP: 22521.00
Geração 070/100 | Melhor WSP: 22526.00
Geração 075/100 | Melhor WSP: 22527.50
Geração 080/100 | Melhor WSP: 22577.00
Geração 085/100 | Melhor WSP: 22585.00
Geração 090/100 | Melhor WSP: 22585.00
Geração 095/100 | Melhor WSP: 22585.00

=== ALGORITMO GENÉTICO FINALIZADO ===
