=== INICIANDO EXECUÇÃO FORÇA TOTAL: BB12012 ===
Dimensões: 4 fitas x 576 colunas
Parâmetros: 100 Gerações | Pop: 20

Geração 000/100 | Melhor WSP: -554.50
Geração 005/100 | Melhor WSP: -554.50
Geração 010/100 | Melhor WSP: -554.50
Geração 015/100 | Melhor WSP: -554.00
Geração 020/100 | Melhor WSP: -554.00
Geração 025/100 | Melhor WSP: -554.00
Geração 030/100 | Melhor WSP: -554.00
Geração 035/100 | Melhor WSP: -554.00
Geração 040/100 | Melhor WSP: -554.00
Geração 045/100 | Melhor WSP: -554.00
Geração 050/100 | Melhor WSP: -554.00
Geração 055/100 | Melhor WSP: -554.00
Geração 060/100 | Melhor WSP: -553.00
Geração 065/100 | Melhor WSP: -553.00
Geração 070/100 | Melhor WSP: -553.00
Geração 075/100 | Melhor WSP: -553.00
Geração 080/100 | Melhor WSP: -548.50
Geração 085/100 | Melhor WSP: -548.50
Geração 090/100 | Melhor WSP: -547.00
Geração 095/100 | Melhor WSP: -547.00

=== ALGORITMO GENÉTICO FINALIZADO ===
